mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__epsilon,param_model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.015428006649017334,0.004546995205450211,0.004658401012420654,0.0001663377051357737,100,0.01,0.01,"{'model__C': 100, 'model__epsilon': 0.01, 'model__gamma': 0.01}",-64.78172589126898,-47.697634964606586,-73.90439783977838,-46.93351635973839,-58.32931876384809,11.47947798029205,29
0.014475226402282715,0.002547965297225612,0.004622161388397217,0.00010279302708112645,100,0.05,0.01,"{'model__C': 100, 'model__epsilon': 0.05, 'model__gamma': 0.01}",-64.7736729686115,-47.70551029634613,-73.92399137589129,-46.93235899883849,-58.33388340992185,11.483460169834496,30
0.01473844051361084,0.0024236956048129107,0.004597306251525879,0.00012635672981769466,100,0.1,0.01,"{'model__C': 100, 'model__epsilon': 0.1, 'model__gamma': 0.01}",-64.76078002087917,-47.708600357412415,-73.96161454256162,-46.92944121245915,-58.34010903332809,11.494441777982063,31
0.014575719833374023,0.0021166858317996384,0.004764735698699951,0.00018527381646128613,100,0.2,0.01,"{'model__C': 100, 'model__epsilon': 0.2, 'model__gamma': 0.01}",-64.75729517456172,-47.68920142691702,-74.0249669224892,-46.926003643487405,-58.34936679186384,11.52083261792245,32
0.01408231258392334,0.0021712679108504356,0.004815340042114258,0.0005432523887768953,500,0.01,0.001,"{'model__C': 500, 'model__epsilon': 0.01, 'model__gamma': 0.001}",-70.52493280447844,-53.66579003797582,-80.86964648948391,-50.24901103303628,-63.82734509124361,12.47924351695449,33
0.013777017593383789,0.0027040769240142767,0.004941046237945557,0.0001456203197837063,500,0.2,0.001,"{'model__C': 500, 'model__epsilon': 0.2, 'model__gamma': 0.001}",-70.5569739184752,-53.76899688217149,-80.76375628839548,-50.24026246889214,-63.83249738948358,12.428887772928022,34
0.015117466449737549,0.003757098325977027,0.004904329776763916,0.00042817681418701235,500,0.05,0.001,"{'model__C': 500, 'model__epsilon': 0.05, 'model__gamma': 0.001}",-70.53969836869177,-53.6910662422199,-80.8559142430436,-50.26313155747128,-63.837452602856644,12.467552716217778,35
0.014666378498077393,0.0030798712460031307,0.004663527011871338,0.0002969076436697694,500,0.1,0.001,"{'model__C': 500, 'model__epsilon': 0.1, 'model__gamma': 0.001}",-70.52386783490533,-53.70657990553869,-80.83300579468393,-50.28737906496951,-63.83770815002437,12.447851734152739,36
0.01568084955215454,0.002489024008039387,0.005100846290588379,0.0005111690026831234,10,0.01,scale,"{'model__C': 10, 'model__epsilon': 0.01, 'model__gamma': 'scale'}",-72.83359220380238,-55.52649004439233,-81.42220117054391,-47.939977295238464,-64.43056517849428,13.32805874465118,37
0.013489723205566406,0.0028688465724237373,0.004596710205078125,0.0002502967593614423,10,0.05,scale,"{'model__C': 10, 'model__epsilon': 0.05, 'model__gamma': 'scale'}",-72.84056533991567,-55.535054167872175,-81.42502248950417,-47.9447565266126,-64.43634963097615,13.32714852488933,38
0.013245642185211182,0.0028419646259067767,0.004523575305938721,0.00022049757724206448,10,0.1,scale,"{'model__C': 10, 'model__epsilon': 0.1, 'model__gamma': 'scale'}",-72.84086342137552,-55.54753068614424,-81.43183652095752,-47.952633119578415,-64.44321593701392,13.32484756346237,39
